9.375958971346914916e-01,9.400511684581951410e-01,7.377534943899847208e-01,6.098944235639384148e-01,5.942623845133719884e-01,8.826778834227972936e-01,7.154684797523283013e-01,3.699867154680003267e-01,5.928546073165472663e-01,4.297461066057570722e-01
2.559364764795694080e-01,8.813623572287077046e-02,3.247198782532851880e-01,3.999370539404336622e-01,1.712908849915893983e-01,1.911380927540770047e-01,1.779103719771151226e-01,4.951463436499999871e-01,9.750698185489589109e-01,3.877155578994051499e-01
8.604066903852192194e-02,8.201959409555388270e-01,8.801569910528338481e-01,5.102275424470872345e-01,2.833594896711463251e-01,6.419900185323739183e-01,6.807172121567287570e-01,6.834328633410483578e-01,3.130136642929624013e-01,1.247049339710478710e-01
2.359156176390027060e-01,2.168469732918563153e-01,3.981519568904178241e-01,9.548450640882241158e-01,9.319385196455787224e-02,6.596064404316159813e-02,6.789383666507147197e-01,1.316945818187709172e-02,7.075693897189749837e-02,6.769636619521387511e-01
8.809464367612640512e-01,2.439277996230032608e-01,7.599784090140778714e-01,8.361536514134908504e-01,6.937264407448564540e-01,8.245758534871800993e-01,2.914101574781801096e-01,3.009846816363204169e-02,5.067977677413970650e-01,7.198641216268050202e-01
6.653560305812559195e-01,2.200380355723283166e-01,6.894911193285669926e-01,8.485726633296047927e-01,5.158941459792629747e-01,3.539319469792858580e-02,5.912153409345982658e-01,9.203711599452919501e-01,4.208075392787972158e-01,7.538126874974118152e-01
7.817597767633694961e-01,5.144839582806285394e-01,4.238046675660132045e-01,7.549861824721673109e-01,3.069209752097354360e-01,1.231411883981741395e+00,1.001515664327513377e+00,5.332080152789185901e-01,8.877481176445073396e-01,5.906971585812449410e-01
4.720227992443766230e-01,6.319204381816069249e-01,5.332182350755626521e-01,9.569418203273529766e-01,6.591603359442302912e-01,5.201191117631102090e-01,8.814920903837248911e-01,1.357889154303824619e-01,3.274950037140670900e-01,1.527974921902344185e-01
8.785930681028735201e-01,8.788006922396333076e-01,1.753911516155798322e-01,8.319633995167501350e-01,4.667506584289569105e-01,2.088345886254988626e-01,8.323580588447063722e-01,6.407238625538620447e-01,4.048158653652802474e-01,4.246045892625819329e-01
2.056232681985899480e-01,7.121798702230686118e-01,8.315677648344868000e-01,8.502083740175132576e-01,5.035679942184515534e-01,8.142829980630265085e-01,3.095035260197949722e-01,1.182083292037215405e-01,1.042684025711080181e-01,5.827560918905382303e-01
9.066681479730520632e-02,1.168365149887260479e-01,6.609758234687090894e-01,4.429584942901270139e-01,2.713543706258786381e-01,5.460235895440279652e-01,4.198081589872152408e-01,6.319741679848334126e-01,6.821852495950109230e-02,7.262897110623818264e-01
4.415224767306965559e-01,9.099126635533758556e-01,2.333080446607547209e-01,3.692120297084090508e-01,1.686001718867635724e-01,9.336401213537878219e-01,9.155749188436673736e-01,8.908552933704378951e-01,3.830651524467889590e-01,4.853080776549922870e-01
8.377058311825597015e-01,1.996650171818570296e-02,2.758272236595976645e-01,5.761781762836641896e-01,3.335537000412759356e-01,9.496040919348284204e-01,1.400614272169551366e-01,1.385257694941536277e-01,6.745946060038310321e-03,8.492384036630373778e-01
